# timing_scope=unspecified
# device=unspecified
# library=unspecified
# warmup=unspecified
# statistic=unspecified
# source=unspecified
id,n,k,uplo,trans,gpu_ms
cherk-base-001,64,64,UPPER,N,
cherk-base-002,64,64,UPPER,C,
cherk-base-003,64,64,LOWER,N,
cherk-base-004,64,64,LOWER,C,
cherk-base-005,64,32,UPPER,N,
cherk-base-006,64,32,UPPER,C,
cherk-base-007,64,32,LOWER,N,
cherk-base-008,64,32,LOWER,C,
cherk-base-009,96,96,UPPER,N,
cherk-base-010,96,96,UPPER,C,
cherk-base-011,96,96,LOWER,N,
cherk-base-012,96,96,LOWER,C,
cherk-base-013,96,48,UPPER,N,
cherk-base-014,96,48,UPPER,C,
cherk-base-015,96,48,LOWER,N,
cherk-base-016,96,48,LOWER,C,
cherk-base-017,128,128,UPPER,N,
cherk-base-018,128,128,UPPER,C,
cherk-base-019,128,128,LOWER,N,
cherk-base-020,128,128,LOWER,C,
cherk-base-021,128,64,UPPER,N,
cherk-base-022,128,64,UPPER,C,
cherk-base-023,128,64,LOWER,N,
cherk-base-024,128,64,LOWER,C,
cherk-base-025,160,160,UPPER,N,
cherk-base-026,160,160,UPPER,C,
cherk-base-027,160,160,LOWER,N,
cherk-base-028,160,160,LOWER,C,
cherk-base-029,160,80,UPPER,N,
cherk-base-030,160,80,UPPER,C,
cherk-base-031,160,80,LOWER,N,
cherk-base-032,160,80,LOWER,C,
cherk-base-033,192,192,UPPER,N,
cherk-base-034,192,192,UPPER,C,
cherk-base-035,192,192,LOWER,N,
cherk-base-036,192,192,LOWER,C,
cherk-base-037,192,96,UPPER,N,
cherk-base-038,192,96,UPPER,C,
cherk-base-039,192,96,LOWER,N,
cherk-base-040,192,96,LOWER,C,
cherk-base-041,224,224,UPPER,N,
cherk-base-042,224,224,UPPER,C,
cherk-base-043,224,224,LOWER,N,
cherk-base-044,224,224,LOWER,C,
cherk-base-045,224,112,UPPER,N,
cherk-base-046,224,112,UPPER,C,
cherk-base-047,224,112,LOWER,N,
cherk-base-048,224,112,LOWER,C,
cherk-base-049,256,256,UPPER,N,
cherk-base-050,256,256,UPPER,C,
cherk-base-051,256,256,LOWER,N,
cherk-base-052,256,256,LOWER,C,
cherk-base-053,256,128,UPPER,N,
cherk-base-054,256,128,UPPER,C,
cherk-base-055,256,128,LOWER,N,
cherk-base-056,256,128,LOWER,C,
cherk-base-057,320,320,UPPER,N,
cherk-base-058,320,320,UPPER,C,
cherk-base-059,320,320,LOWER,N,
cherk-base-060,320,320,LOWER,C,
cherk-base-061,320,160,UPPER,N,
cherk-base-062,320,160,UPPER,C,
cherk-base-063,320,160,LOWER,N,
cherk-base-064,320,160,LOWER,C,
cherk-base-065,384,384,UPPER,N,
cherk-base-066,384,384,UPPER,C,
cherk-base-067,384,384,LOWER,N,
cherk-base-068,384,384,LOWER,C,
cherk-base-069,384,192,UPPER,N,
cherk-base-070,384,192,UPPER,C,
cherk-base-071,384,192,LOWER,N,
cherk-base-072,384,192,LOWER,C,
cherk-base-073,448,448,UPPER,N,
cherk-base-074,448,448,UPPER,C,
cherk-base-075,448,448,LOWER,N,
cherk-base-076,448,448,LOWER,C,
cherk-base-077,448,224,UPPER,N,
cherk-base-078,448,224,UPPER,C,
cherk-base-079,448,224,LOWER,N,
cherk-base-080,448,224,LOWER,C,
cherk-base-081,512,512,UPPER,N,
cherk-base-082,512,512,UPPER,C,
cherk-base-083,512,512,LOWER,N,
cherk-base-084,512,512,LOWER,C,
cherk-base-085,512,256,UPPER,N,
cherk-base-086,512,256,UPPER,C,
cherk-base-087,512,256,LOWER,N,
cherk-base-088,512,256,LOWER,C,
cherk-base-089,640,640,UPPER,N,
cherk-base-090,640,640,UPPER,C,
cherk-base-091,640,640,LOWER,N,
cherk-base-092,640,640,LOWER,C,
cherk-base-093,640,320,UPPER,N,
cherk-base-094,640,320,UPPER,C,
cherk-base-095,640,320,LOWER,N,
cherk-base-096,640,320,LOWER,C,
cherk-base-097,728,728,UPPER,N,
cherk-base-098,728,728,UPPER,C,
cherk-base-099,728,728,LOWER,N,
cherk-base-100,728,728,LOWER,C,
cherk-base-101,728,364,UPPER,N,
cherk-base-102,728,364,UPPER,C,
cherk-base-103,728,364,LOWER,N,
cherk-base-104,728,364,LOWER,C,
cherk-base-105,768,768,UPPER,N,
cherk-base-106,768,768,UPPER,C,
cherk-base-107,768,768,LOWER,N,
cherk-base-108,768,768,LOWER,C,
cherk-base-109,768,384,UPPER,N,
cherk-base-110,768,384,UPPER,C,
cherk-base-111,768,384,LOWER,N,
cherk-base-112,768,384,LOWER,C,
cherk-base-113,896,896,UPPER,N,
cherk-base-114,896,896,UPPER,C,
cherk-base-115,896,896,LOWER,N,
cherk-base-116,896,896,LOWER,C,
cherk-base-117,896,448,UPPER,N,
cherk-base-118,896,448,UPPER,C,
cherk-base-119,896,448,LOWER,N,
cherk-base-120,896,448,LOWER,C,
cherk-base-121,1000,1000,UPPER,N,
cherk-base-122,1000,1000,UPPER,C,
cherk-base-123,1000,1000,LOWER,N,
cherk-base-124,1000,1000,LOWER,C,
cherk-base-125,1000,500,UPPER,N,
cherk-base-126,1000,500,UPPER,C,
cherk-base-127,1000,500,LOWER,N,
cherk-base-128,1000,500,LOWER,C,
cherk-base-129,1024,1024,UPPER,N,0.314
cherk-base-130,1024,1024,UPPER,C,
cherk-base-131,1024,1024,LOWER,N,
cherk-base-132,1024,1024,LOWER,C,0.25
cherk-base-133,1024,512,UPPER,N,
cherk-base-134,1024,512,UPPER,C,
cherk-base-135,1024,512,LOWER,N,
cherk-base-136,1024,512,LOWER,C,
cherk-base-137,1280,1280,UPPER,N,
cherk-base-138,1280,1280,UPPER,C,
cherk-base-139,1280,1280,LOWER,N,
cherk-base-140,1280,1280,LOWER,C,
cherk-base-141,1280,640,UPPER,N,
cherk-base-142,1280,640,UPPER,C,
cherk-base-143,1280,640,LOWER,N,
cherk-base-144,1280,640,LOWER,C,
cherk-base-145,1536,1536,UPPER,N,
cherk-base-146,1536,1536,UPPER,C,
cherk-base-147,1536,1536,LOWER,N,
cherk-base-148,1536,1536,LOWER,C,
cherk-base-149,1536,768,UPPER,N,
cherk-base-150,1536,768,UPPER,C,
cherk-base-151,1536,768,LOWER,N,
cherk-base-152,1536,768,LOWER,C,
cherk-base-153,1792,1792,UPPER,N,
cherk-base-154,1792,1792,UPPER,C,
cherk-base-155,1792,1792,LOWER,N,
cherk-base-156,1792,1792,LOWER,C,
cherk-base-157,1792,896,UPPER,N,
cherk-base-158,1792,896,UPPER,C,
cherk-base-159,1792,896,LOWER,N,
cherk-base-160,1792,896,LOWER,C,
cherk-base-161,2048,2048,UPPER,N,1.929
cherk-base-162,2048,2048,UPPER,C,
cherk-base-163,2048,2048,LOWER,N,
cherk-base-164,2048,2048,LOWER,C,2.024
cherk-base-165,2048,1024,UPPER,N,
cherk-base-166,2048,1024,UPPER,C,
cherk-base-167,2048,1024,LOWER,N,
cherk-base-168,2048,1024,LOWER,C,
cherk-base-169,2560,2560,UPPER,N,
cherk-base-170,2560,2560,UPPER,C,
cherk-base-171,2560,2560,LOWER,N,
cherk-base-172,2560,2560,LOWER,C,
cherk-base-173,2560,1280,UPPER,N,
cherk-base-174,2560,1280,UPPER,C,
cherk-base-175,2560,1280,LOWER,N,
cherk-base-176,2560,1280,LOWER,C,
cherk-base-177,3072,3072,UPPER,N,
cherk-base-178,3072,3072,UPPER,C,
cherk-base-179,3072,3072,LOWER,N,
cherk-base-180,3072,3072,LOWER,C,
cherk-base-181,3072,1536,UPPER,N,
cherk-base-182,3072,1536,UPPER,C,
cherk-base-183,3072,1536,LOWER,N,
cherk-base-184,3072,1536,LOWER,C,
cherk-base-185,3584,3584,UPPER,N,
cherk-base-186,3584,3584,UPPER,C,
cherk-base-187,3584,3584,LOWER,N,
cherk-base-188,3584,3584,LOWER,C,
cherk-base-189,3584,1792,UPPER,N,
cherk-base-190,3584,1792,UPPER,C,
cherk-base-191,3584,1792,LOWER,N,
cherk-base-192,3584,1792,LOWER,C,
cherk-base-193,4096,4096,UPPER,N,
cherk-base-194,4096,4096,UPPER,C,
cherk-base-195,4096,4096,LOWER,N,
cherk-base-196,4096,4096,LOWER,C,
cherk-base-197,4096,2048,UPPER,N,
cherk-base-198,4096,2048,UPPER,C,
cherk-base-199,4096,2048,LOWER,N,
cherk-base-200,4096,2048,LOWER,C,
