# timing_scope=unspecified
# device=unspecified
# library=unspecified
# warmup=unspecified
# statistic=unspecified
# source=taskdoc:§3.5 的 25 个 n 加 175 个补齐点；§3.1 无 GPU 对标，只采集上报
id,n,gpu_ms
sasum-base-001,1,
sasum-base-002,2,
sasum-base-003,3,
sasum-base-004,4,
sasum-base-005,5,
sasum-base-006,6,
sasum-base-007,7,
sasum-base-008,8,
sasum-base-009,9,
sasum-base-010,10,
sasum-base-011,12,
sasum-base-012,15,
sasum-base-013,16,
sasum-base-014,17,
sasum-base-015,18,
sasum-base-016,20,
sasum-base-017,24,
sasum-base-018,30,
sasum-base-019,31,
sasum-base-020,32,
sasum-base-021,33,
sasum-base-022,36,
sasum-base-023,40,
sasum-base-024,48,
sasum-base-025,50,
sasum-base-026,60,
sasum-base-027,63,
sasum-base-028,64,
sasum-base-029,65,
sasum-base-030,70,
sasum-base-031,72,
sasum-base-032,80,
sasum-base-033,96,
sasum-base-034,100,
sasum-base-035,120,
sasum-base-036,127,
sasum-base-037,128,
sasum-base-038,129,
sasum-base-039,144,
sasum-base-040,160,
sasum-base-041,192,
sasum-base-042,200,
sasum-base-043,240,
sasum-base-044,255,
sasum-base-045,256,
sasum-base-046,257,
sasum-base-047,288,
sasum-base-048,300,
sasum-base-049,320,
sasum-base-050,384,
sasum-base-051,480,
sasum-base-052,500,
sasum-base-053,511,
sasum-base-054,512,
sasum-base-055,513,
sasum-base-056,576,
sasum-base-057,640,
sasum-base-058,700,
sasum-base-059,768,
sasum-base-060,960,
sasum-base-061,1000,
sasum-base-062,1023,
sasum-base-063,1024,
sasum-base-064,1025,
sasum-base-065,1152,
sasum-base-066,1280,
sasum-base-067,1536,
sasum-base-068,1920,
sasum-base-069,2000,
sasum-base-070,2047,
sasum-base-071,2048,
sasum-base-072,2049,
sasum-base-073,2304,
sasum-base-074,2560,
sasum-base-075,3000,
sasum-base-076,3072,
sasum-base-077,3840,
sasum-base-078,4095,
sasum-base-079,4096,
sasum-base-080,4097,
sasum-base-081,4608,
sasum-base-082,5000,
sasum-base-083,5120,
sasum-base-084,6144,
sasum-base-085,7000,
sasum-base-086,7680,
sasum-base-087,8191,
sasum-base-088,8192,
sasum-base-089,8193,
sasum-base-090,9216,
sasum-base-091,10000,
sasum-base-092,10240,
sasum-base-093,12288,
sasum-base-094,15360,
sasum-base-095,16383,
sasum-base-096,16384,
sasum-base-097,16385,
sasum-base-098,18432,
sasum-base-099,20000,
sasum-base-100,20480,
sasum-base-101,24576,
sasum-base-102,30000,
sasum-base-103,30720,
sasum-base-104,32767,
sasum-base-105,32768,
sasum-base-106,32769,
sasum-base-107,36864,
sasum-base-108,40960,
sasum-base-109,49152,
sasum-base-110,50000,
sasum-base-111,61440,
sasum-base-112,65535,
sasum-base-113,65536,
sasum-base-114,65537,
sasum-base-115,70000,
sasum-base-116,73728,
sasum-base-117,81920,
sasum-base-118,98304,
sasum-base-119,100000,
sasum-base-120,122880,
sasum-base-121,131071,
sasum-base-122,131072,
sasum-base-123,131073,
sasum-base-124,147456,
sasum-base-125,163840,
sasum-base-126,196608,
sasum-base-127,200000,
sasum-base-128,245760,
sasum-base-129,262143,
sasum-base-130,262144,
sasum-base-131,262145,
sasum-base-132,294912,
sasum-base-133,300000,
sasum-base-134,327680,
sasum-base-135,393216,
sasum-base-136,491520,
sasum-base-137,500000,
sasum-base-138,524287,
sasum-base-139,524288,
sasum-base-140,524289,
sasum-base-141,589824,
sasum-base-142,655360,
sasum-base-143,700000,
sasum-base-144,786432,
sasum-base-145,983040,
sasum-base-146,1000000,
sasum-base-147,1048575,
sasum-base-148,1048576,
sasum-base-149,1048577,
sasum-base-150,1179648,
sasum-base-151,1310720,
sasum-base-152,1572864,
sasum-base-153,2000000,
sasum-base-154,2097151,
sasum-base-155,2097152,
sasum-base-156,2097153,
sasum-base-157,2359296,
sasum-base-158,2621440,
sasum-base-159,3000000,
sasum-base-160,3145728,
sasum-base-161,4194303,
sasum-base-162,4194304,
sasum-base-163,4194305,
sasum-base-164,4718592,
sasum-base-165,5000000,
sasum-base-166,5242880,
sasum-base-167,6291456,
sasum-base-168,7000000,
sasum-base-169,8388607,
sasum-base-170,8388608,
sasum-base-171,8388609,
sasum-base-172,9437184,
sasum-base-173,10000000,
sasum-base-174,10485760,
sasum-base-175,12582912,
sasum-base-176,16777215,
sasum-base-177,16777216,
sasum-base-178,16777217,
sasum-base-179,18874368,
sasum-base-180,20000000,
sasum-base-181,20971520,
sasum-base-182,25165824,
sasum-base-183,30000000,
sasum-base-184,33554431,
sasum-base-185,33554432,
sasum-base-186,33554433,
sasum-base-187,37748736,
sasum-base-188,41943040,
sasum-base-189,50000000,
sasum-base-190,50331648,
sasum-base-191,67108863,
sasum-base-192,67108864,
sasum-base-193,67108865,
sasum-base-194,70000000,
sasum-base-195,75497472,
sasum-base-196,83886080,
sasum-base-197,100000000,
sasum-base-198,100663296,
sasum-base-199,134217727,
sasum-base-200,134217728,
